,Unnamed: 0,formatted_address,Address,latitude,longitude,License_Type,Entity_Name,Trade_Name,Concate
47,6,"3855 Quentin St, Denver, CO 80239, USA",3855 N Quentin St Denver CO,39.7702777,-104.8452339,Retail Marij Opt. Prem. Cultiv,MX LLC,,Retail Marij Opt. Prem. Cultiv-MX LLC
48,6,"3855 Quentin St, Denver, CO 80239, USA",3855 N Quentin St Denver CO,39.7702777,-104.8452339,Retail Marijuana Inf Prod Mfg,MX LLC,,Retail Marijuana Inf Prod Mfg-MX LLC
51,7,"2218 S Kalamath St, Denver, CO 80223, USA",2218 S KALAMATH ST DENVER CO,39.6763287,-105.0003155,Med Marijuana Opt Prem Cultiv,"PINEAPPLE EXCHANGE, LLC",PINEAPPLE EXCHANGE,"Med Marijuana Opt Prem Cultiv-PINEAPPLE EXCHANGE, LLC"
52,8,"6359 E Evans Ave, Denver, CO 80222, USA",6359 E EVANS AVE DENVER CO,39.6787491,-104.914581,Retail Marijuana Store,"MEDICINAL WELLNESS CENTER, LLC",OASIS CANNABIS SUPERSTORE,"Retail Marijuana Store-MEDICINAL WELLNESS CENTER, LLC"
53,8,"6359 E Evans Ave, Denver, CO 80222, USA",6359 E EVANS AVE DENVER CO,39.6787491,-104.914581,Medical Marijuana Center,"MEDICINAL WELLNESS CENTER, LLC",OASIS CANNABIS SUPER STORE,"Medical Marijuana Center-MEDICINAL WELLNESS CENTER, LLC"
56,9,"5156 N Clarkson St, Denver, CO 80205, USA",5156 N Clarkson  Denver CO,39.7546312,-104.9769565,Med Marijuana Opt Prem Cultiv,LEVELS IV INC,LEVELS IV INC,Med Marijuana Opt Prem Cultiv-LEVELS IV INC
57,10,"4800 Nome St, Denver, CO 80239, USA",4800 N NOME ST DENVER CO,39.7843319,-104.8524045,Retail Marij Opt. Prem. Cultiv,"NUTRITIONAL ELEMENTS, LLC",THE HEALTH CENTER,"Retail Marij Opt. Prem. Cultiv-NUTRITIONAL ELEMENTS, LLC"
58,10,"4800 Nome St, Denver, CO 80239, USA",4800 N NOME ST DENVER CO,39.7843319,-104.8524045,Med Marijuana Opt Prem Cultiv,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,Med Marijuana Opt Prem Cultiv-NUTRITIONAL ELEMENTS LLC
61,11,"5775 E 39th Ave, Denver, CO 80207, USA",5775 E 39TH AVE DENVER CO,39.7713976,-104.9207255,Med Marijuana Opt Prem Cultiv,JET BLACK ENTERPRISES,LEIFFA,Med Marijuana Opt Prem Cultiv-JET BLACK ENTERPRISES
62,11,"5775 E 39th Ave, Denver, CO 80207, USA",5775 E 39TH AVE DENVER CO,39.7713976,-104.9207255,Retail Marij Opt. Prem. Cultiv,JET BLACK ENTERPRISES,LEIFFA,Retail Marij Opt. Prem. Cultiv-JET BLACK ENTERPRISES
65,12,"4571 Ivy St, Denver, CO 80216, USA",4571 N IVY ST DENVER CO,39.7796332,-104.9203605,Medical Marijuana Center,PRIMA BRANDS LLC,PRIMA CANNABIS COMPANY,Medical Marijuana Center-PRIMA BRANDS LLC
66,12,"4571 Ivy St, Denver, CO 80216, USA",4571 N IVY ST DENVER CO,39.7796332,-104.9203605,Med Marijuana Opt Prem Cultiv,PRIMA BRANDS LLC,PRIMA CANNABIS COMPANY,Med Marijuana Opt Prem Cultiv-PRIMA BRANDS LLC
67,12,"4571 Ivy St, Denver, CO 80216, USA",4571 N IVY ST DENVER CO,39.7796332,-104.9203605,Retail Marij Opt. Prem. Cultiv,PRIMA BRANDS LLC,PRIMA CANNABIS COMPANY,Retail Marij Opt. Prem. Cultiv-PRIMA BRANDS LLC
74,13,"680 Lipan St, Denver, CO 80204, USA",680 N LIPAN ST DENVER CO,39.7270824,-105.0011828,Retail Marijuana Inf Prod Mfg,"CONSCIOUS CONFECTIONS, LLC",NATIVE ROOTS EXTRACTS,"Retail Marijuana Inf Prod Mfg-CONSCIOUS CONFECTIONS, LLC"
75,13,"680 Lipan St, Denver, CO 80204, USA",680 N LIPAN ST DENVER CO,39.7270824,-105.0011828,Med Marijuana Inf Prod Manuf,"CONSCIOUS CONFECTIONS, LLC",NATIVE ROOTS EXTRACTS,"Med Marijuana Inf Prod Manuf-CONSCIOUS CONFECTIONS, LLC"
76,13,"680 Lipan St, Denver, CO 80204, USA",680 N LIPAN ST DENVER CO,39.7270824,-105.0011828,Med Marijuana Opt Prem Cultiv,"CONSCIOUS CONFECTIONS, LLC",NATIVE ROOTS EXTRACTS,"Med Marijuana Opt Prem Cultiv-CONSCIOUS CONFECTIONS, LLC"
77,13,"680 Lipan St, Denver, CO 80204, USA",680 N LIPAN ST DENVER CO,39.7270824,-105.0011828,Retail Marij Opt. Prem. Cultiv,"CONSCIOUS CONFECTIONS, LLC",NATIVE ROOTS EXTRACTS,"Retail Marij Opt. Prem. Cultiv-CONSCIOUS CONFECTIONS, LLC"
90,14,"1325 S Inca St, Denver, CO 80223, USA",1325 S INCA ST DENVER CO,39.6925979,-104.998358,Retail Marijuana Store,"BUD BUM, LLC",BUD BUM,"Retail Marijuana Store-BUD BUM, LLC"
91,14,"1325 S Inca St, Denver, CO 80223, USA",1325 S INCA ST DENVER CO,39.6925979,-104.998358,Medical Marijuana Center,"BUD BUM, LLC",BUD BUM,"Medical Marijuana Center-BUD BUM, LLC"
92,14,"1325 S Inca St, Denver, CO 80223, USA",1325 S INCA ST DENVER CO,39.6925979,-104.998358,Retail Marij Opt. Prem. Cultiv,"BUD BUM, LLC",BUD BUM,"Retail Marij Opt. Prem. Cultiv-BUD BUM, LLC"
93,14,"1325 S Inca St, Denver, CO 80223, USA",1325 S INCA ST DENVER CO,39.6925979,-104.998358,Med Marijuana Opt Prem Cultiv,"BUD BUM, LLC",BUD BUM,"Med Marijuana Opt Prem Cultiv-BUD BUM, LLC"
106,15,"4800 Oakland St, Denver, CO 80239, USA",4800 N OAKLAND ST DENVER CO,39.7844155,-104.8503416,Retail Marij Opt. Prem. Cultiv,HG LTD,HIGHER GRADE,Retail Marij Opt. Prem. Cultiv-HG LTD
107,15,"4800 Oakland St, Denver, CO 80239, USA",4800 N OAKLAND ST DENVER CO,39.7844155,-104.8503416,Med Marijuana Opt Prem Cultiv,HG LTD,HIGHER GRADE,Med Marijuana Opt Prem Cultiv-HG LTD
108,15,"4800 Oakland St, Denver, CO 80239, USA",4800 N OAKLAND ST DENVER CO,39.7844155,-104.8503416,Retail Marijuana Inf Prod Mfg,GUARANTEED GREEN LTD,OLIO,Retail Marijuana Inf Prod Mfg-GUARANTEED GREEN LTD
109,15,"4800 Oakland St, Denver, CO 80239, USA",4800 N OAKLAND ST DENVER CO,39.7844155,-104.8503416,Med Marijuana Inf Prod Manuf,GUARANTEED GREEN LTD,OLIO,Med Marijuana Inf Prod Manuf-GUARANTEED GREEN LTD
110,15,"4800 Oakland St, Denver, CO 80239, USA",4800 N OAKLAND ST DENVER CO,39.7844155,-104.8503416,Retail Marij Opt. Prem. Cultiv,GUARANTEED GREEN LTD,OLIO,Retail Marij Opt. Prem. Cultiv-GUARANTEED GREEN LTD
111,15,"4800 Oakland St, Denver, CO 80239, USA",4800 N OAKLAND ST DENVER CO,39.7844155,-104.8503416,Med Marijuana Opt Prem Cultiv,GUARANTEED GREEN LTD,OLIO,Med Marijuana Opt Prem Cultiv-GUARANTEED GREEN LTD
142,16,"2426 S Federal Blvd, Denver, CO 80219, USA",2426 S FEDERAL BLVD DENVER CO,39.6725537,-105.0246248,Medical Marijuana Center,"TWOG-FEDERAL, LLC",BUDDY BOY,"Medical Marijuana Center-TWOG-FEDERAL, LLC"
143,16,"2426 S Federal Blvd, Denver, CO 80219, USA",2426 S FEDERAL BLVD DENVER CO,39.6725537,-105.0246248,Retail Marijuana Store,"TWO G-FEDERAL, LLC",BUDDY BOY,"Retail Marijuana Store-TWO G-FEDERAL, LLC"
146,17,"4690 Brighton Blvd, Denver, CO 80216, USA",4690 N BRIGHTON BLVD DENVER CO,39.7818046,-104.9664941,Retail Marijuana Store,"COLORADO HEALTH CONSULTANTS, LLC",STARBUDS,"Retail Marijuana Store-COLORADO HEALTH CONSULTANTS, LLC"
147,18,"1197 S Bannock St, Denver, CO 80223, USA",1197 S BANNOCK ST DENVER CO,39.6949849,-104.9904787,Retail Marij Opt. Prem. Cultiv,LEAN LLC,"LEAN, LLC",Retail Marij Opt. Prem. Cultiv-LEAN LLC
148,19,"4095 Jackson St, Denver, CO 80216, USA",4095 N JACKSON ST DENVER CO,39.7736715,-104.9433116,Retail Marijuana Store,"4095 SHELTER, LLC",EVERBLOOM,"Retail Marijuana Store-4095 SHELTER, LLC"
149,20,"1075 S Jason St, Denver, CO 80223, USA",1075 S JASON ST DENVER CO,39.6973825,-104.9993569,Med Marijuana Inf Prod Manuf,"JVT ENTERPRISES, INC.",SPACE LAB,"Med Marijuana Inf Prod Manuf-JVT ENTERPRISES, INC."
150,20,"1075 S Jason St, Denver, CO 80223, USA",1075 S JASON ST DENVER CO,39.6973825,-104.9993569,Med Marijuana Opt Prem Cultiv,"JVT ENTERPRISES, INC.",COLORADO CANNABIS CONNECTION,"Med Marijuana Opt Prem Cultiv-JVT ENTERPRISES, INC."
151,20,"1075 S Jason St, Denver, CO 80223, USA",1075 S JASON ST DENVER CO,39.6973825,-104.9993569,Retail Marij Opt. Prem. Cultiv,"JVT ENTERPRISES, INC.",COLORADO CANNABIS CONNECTION,"Retail Marij Opt. Prem. Cultiv-JVT ENTERPRISES, INC."
158,21,"3814 Walnut St, Denver, CO 80205, USA",3814  WALNUT ST DENVER CO,39.7703141,-104.9712528,Retail Marij Opt. Prem. Cultiv,"TWOG-WALNUT, LLC",BUDDY BOY,"Retail Marij Opt. Prem. Cultiv-TWOG-WALNUT, LLC"
159,21,"3814 Walnut St, Denver, CO 80205, USA",3814  WALNUT ST DENVER CO,39.7703141,-104.9712528,Medical Marijuana Center,"TWOG-WALNUT, LLC",BUDDY BOY,"Medical Marijuana Center-TWOG-WALNUT, LLC"
160,21,"3814 Walnut St, Denver, CO 80205, USA",3814  WALNUT ST DENVER CO,39.7703141,-104.9712528,Retail Marijuana Store,"TWOG-WALNUT, LLC",BUDDY BOY,"Retail Marijuana Store-TWOG-WALNUT, LLC"
161,21,"3814 Walnut St, Denver, CO 80205, USA",3814  WALNUT ST DENVER CO,39.7703141,-104.9712528,Med Marijuana Opt Prem Cultiv,"TWOG-WALNUT, LLC",BUDDY BOY,"Med Marijuana Opt Prem Cultiv-TWOG-WALNUT, LLC"
174,22,"2704 W 8th Ave, Denver, CO 80204, USA",2704 W 8th AVE Denver CO,39.7291222,-105.0205159,Retail Marijuana Inf Prod Mfg,ROC LABS LLC,STANLEY BROTHERS,Retail Marijuana Inf Prod Mfg-ROC LABS LLC
175,23,"5353 Joliet St, Denver, CO 80239, USA",5353 N JOLIET ST DENVER CO,39.7941957,-104.8619712,Med Marijuana Opt Prem Cultiv,"BIG TOE, LLC",FINE TREES,"Med Marijuana Opt Prem Cultiv-BIG TOE, LLC"
176,24,"Quivas St, Denver, CO, USA",400 N QUIVAS ST DENVER CO,39.7801532,-105.0080066,Med Marijuana Opt Prem Cultiv,KGBI COLORADO LLC,SENSE OF HEALING,Med Marijuana Opt Prem Cultiv-KGBI COLORADO LLC
178,24,"Quivas St, Denver, CO, USA",400 N QUIVAS ST DENVER CO,39.7801532,-105.0080066,Retail Marij Opt. Prem. Cultiv,KGBI COLORADO LLC,SENSE OF HEALING,Retail Marij Opt. Prem. Cultiv-KGBI COLORADO LLC
179,24,"Quivas St, Denver, CO, USA",400 N QUIVAS ST DENVER CO,39.7801532,-105.0080066,Med Marijuana Inf Prod Manuf,KGBI COLORADO LLC,SENSE OF HEALING,Med Marijuana Inf Prod Manuf-KGBI COLORADO LLC
192,25,"2675 S Santa Fe Dr, Denver, CO 80223, USA",2675 S SANTA FE DR  DENVER CO,39.6684632,-104.9979586,Med Marijuana Opt Prem Cultiv,"HOLLY MEDICINAL SERVICES, LLC",THE CLINIC ON COLORADO,"Med Marijuana Opt Prem Cultiv-HOLLY MEDICINAL SERVICES, LLC"
193,26,"1150 W 5th Ave, Denver, CO 80204, USA",1150 W 5TH AVE DENVER CO,39.7241189,-105.0019974,Med Marijuana Opt Prem Cultiv,"MEDICALLY CORRECT, LLC",INCREDIBLES,"Med Marijuana Opt Prem Cultiv-MEDICALLY CORRECT, LLC"
194,27,"5051 E 41st Ave, Denver, CO 80216, USA",5051 E 41ST AVE DENVER CO,39.7734888,-104.928973,Retail Marijuana Inf Prod Mfg,"COLORADO MANAGEMENT HOLDINGS, INC",CMH,"Retail Marijuana Inf Prod Mfg-COLORADO MANAGEMENT HOLDINGS, INC"
195,27,"5051 E 41st Ave, Denver, CO 80216, USA",5051 E 41ST AVE DENVER CO,39.7734888,-104.928973,Med Marijuana Opt Prem Cultiv,COLORADO MANAGEMENT HOLDINGS.INC,CMH,Med Marijuana Opt Prem Cultiv-COLORADO MANAGEMENT HOLDINGS.INC
196,27,"5051 E 41st Ave, Denver, CO 80216, USA",5051 E 41ST AVE DENVER CO,39.7734888,-104.928973,Retail Marij Opt. Prem. Cultiv,"COLORADO MANAGEMENT HOLDINGS, INC",CMH,"Retail Marij Opt. Prem. Cultiv-COLORADO MANAGEMENT HOLDINGS, INC"
197,27,"5051 E 41st Ave, Denver, CO 80216, USA",5051 E 41ST AVE DENVER CO,39.7734888,-104.928973,Med Marijuana Inf Prod Manuf,"COLORADO MANAGEMENT HOLDINGS, INC",CMH,"Med Marijuana Inf Prod Manuf-COLORADO MANAGEMENT HOLDINGS, INC"
210,28,"755 S Jason St, Denver, CO 80223, USA",755 S JASON ST DENVER CO,39.7028464,-104.9996373,Medical Marijuana Center,"UNIVERSAL HERBS, LLC",UNIVERSAL HERBS,"Medical Marijuana Center-UNIVERSAL HERBS, LLC"
211,28,"755 S Jason St, Denver, CO 80223, USA",755 S JASON ST DENVER CO,39.7028464,-104.9996373,Med Marijuana Opt Prem Cultiv,"ROYAL ASSET MANAGEMENT, LLC",ROYAL RESIN,"Med Marijuana Opt Prem Cultiv-ROYAL ASSET MANAGEMENT, LLC"
212,28,"755 S Jason St, Denver, CO 80223, USA",755 S JASON ST DENVER CO,39.7028464,-104.9996373,Retail Marij Opt. Prem. Cultiv,"ROYAL ASSET MANAGEMENT, LLC",ROYAL RESIN,"Retail Marij Opt. Prem. Cultiv-ROYAL ASSET MANAGEMENT, LLC"
213,28,"755 S Jason St, Denver, CO 80223, USA",755 S JASON ST DENVER CO,39.7028464,-104.9996373,Retail Marijuana Store,"UNIVERSAL HERBS, LLC",UNIVERSAL HERBS,"Retail Marijuana Store-UNIVERSAL HERBS, LLC"
226,29,"5231 Monroe St, Denver, CO 80216, USA",5231 N MONROE ST DENVER CO,39.7925207,-104.94573,Retail Marijuana Inf Prod Mfg,"THCHOCOLATE, LLC",EVOLAB,"Retail Marijuana Inf Prod Mfg-THCHOCOLATE, LLC"
227,29,"5231 Monroe St, Denver, CO 80216, USA",5231 N MONROE ST DENVER CO,39.7925207,-104.94573,Med Marijuana Inf Prod Manuf,THCHOCOLATE LLC,,Med Marijuana Inf Prod Manuf-THCHOCOLATE LLC
230,30,"745 E 6th Ave, Denver, CO 80203, USA",745 E 6TH AVE DENVER CO,39.7258971,-104.9780181,Retail Marijuana Store,"LIGHTSHADE LABS, LLC",LIGHTSHADE,"Retail Marijuana Store-LIGHTSHADE LABS, LLC"
231,31,"4990 Dahlia St, Denver, CO 80216, USA",4990 N Dahlia St Denver CO,39.7860746,-104.9306721,Med Marijuana Inf Prod Manuf,"CONSCIOUS CONFECTIONS II, LLC",NATIVE ROOTS EXTRACT,"Med Marijuana Inf Prod Manuf-CONSCIOUS CONFECTIONS II, LLC"
232,32,"120 S Kalamath St, Denver, CO 80223, USA",120 S KALAMATH ST DENVER CO,39.7144031,-104.9997822,Medical Marijuana Center,"3B-KALAMATH, LLC",BUDDY BOY,"Medical Marijuana Center-3B-KALAMATH, LLC"
233,33,"755 S Federal Blvd, Denver, CO 80219, USA",755 S Federal BLVD Denver CO,39.7029243,-105.0254694,Medical Marijuana Center,"AMERICAN INDUSTRY, LLC",DENVER CLONE STORE,"Medical Marijuana Center-AMERICAN INDUSTRY, LLC"
234,33,"755 S Federal Blvd, Denver, CO 80219, USA",755 S Federal BLVD Denver CO,39.7029243,-105.0254694,Retail Marijuana Store,"AMERICAN INDUSTRY, LLC",DENVER CLONE STORE,"Retail Marijuana Store-AMERICAN INDUSTRY, LLC"
237,34,"1201 W Custer Pl, Denver, CO 80223, USA",1201 W CUSTER PL DENVER CO,39.7068749,-105.0017763,Med Marijuana Opt Prem Cultiv,"2251SB, LLC",,"Med Marijuana Opt Prem Cultiv-2251SB, LLC"
238,35,"4401 E 46th Ave, Denver, CO 80216, USA",4401 E 46th  Denver CO,39.7811727,-104.9362388,Medical Marijuana Center,DELTA-9 DELIGHTS LLC,REEFER MADNESS,Medical Marijuana Center-DELTA-9 DELIGHTS LLC
240,36,"3950 Holly St, Denver, CO 80207, USA",3950 N HOLLY ST DENVER CO,39.7721655,-104.9217749,Med Marijuana Opt Prem Cultiv,"LIGHTSHADE LABS, LLC",LIGHTSHADE,"Med Marijuana Opt Prem Cultiv-LIGHTSHADE LABS, LLC"
241,36,"3950 Holly St, Denver, CO 80207, USA",3950 N HOLLY ST DENVER CO,39.7721655,-104.9217749,Retail Marij Opt. Prem. Cultiv,"LIGHTSHADE LABS, LLC",LIGHTSHADE,"Retail Marij Opt. Prem. Cultiv-LIGHTSHADE LABS, LLC"
242,36,"3950 Holly St, Denver, CO 80207, USA",3950 N HOLLY ST DENVER CO,39.7721655,-104.9217749,Medical Marijuana Center,LIGHTSHADE LABS LLC,LIGHTSHADE,Medical Marijuana Center-LIGHTSHADE LABS LLC
255,37,"4240 Kearney St, Denver, CO 80216, USA",4240 N KEARNEY ST DENVER CO,39.7756937,-104.9169444,Retail Marij Opt. Prem. Cultiv,SWEETWATER PARTNERS LLC,THE PREZ,Retail Marij Opt. Prem. Cultiv-SWEETWATER PARTNERS LLC
256,37,"4240 Kearney St, Denver, CO 80216, USA",4240 N KEARNEY ST DENVER CO,39.7756937,-104.9169444,Med Marijuana Opt Prem Cultiv,SWEETWATER PARTNERS LLC,THE PREZ,Med Marijuana Opt Prem Cultiv-SWEETWATER PARTNERS LLC
259,38,"2020 S Colorado Blvd, Denver, CO 80222, USA",2020 S COLORADO BLVD DENVER CO,39.6797481,-104.9403912,Retail Marijuana Store,HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO,Retail Marijuana Store-HOLLY MEDICINAL SERVICES LLC
260,38,"2020 S Colorado Blvd, Denver, CO 80222, USA",2020 S COLORADO BLVD DENVER CO,39.6797481,-104.9403912,Medical Marijuana Center,"HOLLY MEDICINAL SERVICES,LLC",THE CLINIC ON COLORADO,"Medical Marijuana Center-HOLLY MEDICINAL SERVICES,LLC"
263,39,"4850 Jackson St, Denver, CO 80216, USA",4850 N JACKSON ST DENVER CO,39.7848786,-104.9424902,Retail Marij Opt. Prem. Cultiv,"URBAN HEALTH & WELLNESS, INC.",URBAN DISPENSARY,"Retail Marij Opt. Prem. Cultiv-URBAN HEALTH & WELLNESS, INC."
264,39,"4850 Jackson St, Denver, CO 80216, USA",4850 N JACKSON ST DENVER CO,39.7848786,-104.9424902,Med Marijuana Opt Prem Cultiv,URBAN HEALTH & WELLNESS INC,URBAN DISPENSARY,Med Marijuana Opt Prem Cultiv-URBAN HEALTH & WELLNESS INC
267,40,"4805 Kingston St, Denver, CO 80239, USA",4805 N KINGSTON ST DENVER CO,39.783777,-104.8594628,Med Marijuana Opt Prem Cultiv,"VIRGINIA'S KITCHEN, LLC",BLUEKUDU,"Med Marijuana Opt Prem Cultiv-VIRGINIA'S KITCHEN, LLC"
268,40,"4805 Kingston St, Denver, CO 80239, USA",4805 N KINGSTON ST DENVER CO,39.783777,-104.8594628,Retail Marij Opt. Prem. Cultiv,VIRGINIAS KITCHEN LLC,BLUEKUDU,Retail Marij Opt. Prem. Cultiv-VIRGINIAS KITCHEN LLC
269,40,"4805 Kingston St, Denver, CO 80239, USA",4805 N KINGSTON ST DENVER CO,39.783777,-104.8594628,Retail Marijuana Inf Prod Mfg,"VIRGINIA'S KITCHEN, LLC",BLUEKUDU,"Retail Marijuana Inf Prod Mfg-VIRGINIA'S KITCHEN, LLC"
270,40,"4805 Kingston St, Denver, CO 80239, USA",4805 N KINGSTON ST DENVER CO,39.783777,-104.8594628,Med Marijuana Inf Prod Manuf,"VIRGINIA'S KITCHEN, LLC",BLUEKUDU,"Med Marijuana Inf Prod Manuf-VIRGINIA'S KITCHEN, LLC"
283,41,"1301 N Marion St, Denver, CO 80218, USA",1301 N MARION ST DENVER CO,39.7369912,-104.971996,Medical Marijuana Center,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,Medical Marijuana Center-ALTERNATIVE MEDICINE ON CAPITOL HILL LLC
284,41,"1301 N Marion St, Denver, CO 80218, USA",1301 N MARION ST DENVER CO,39.7369912,-104.971996,Retail Marijuana Store,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,Retail Marijuana Store-ALTERNATIVE MEDICINE ON CAPITOL HILL LLC
287,42,"2191 S Jason St, Denver, CO 80223, USA",2191 S JASON ST DENVER CO,39.6769716,-104.9996251,Med Marijuana Opt Prem Cultiv,"URBANE DEVELOPERS, LLC",,"Med Marijuana Opt Prem Cultiv-URBANE DEVELOPERS, LLC"
288,42,"2191 S Jason St, Denver, CO 80223, USA",2191 S JASON ST DENVER CO,39.6769716,-104.9996251,Retail Marij Opt. Prem. Cultiv,URBANE DEVELOPERS LLC,,Retail Marij Opt. Prem. Cultiv-URBANE DEVELOPERS LLC
289,42,"2191 S Jason St, Denver, CO 80223, USA",2191 S JASON ST DENVER CO,39.6769716,-104.9996251,Med Marijuana Inf Prod Manuf,URBANE DEVELOPERS LLC,,Med Marijuana Inf Prod Manuf-URBANE DEVELOPERS LLC
290,42,"2191 S Jason St, Denver, CO 80223, USA",2191 S JASON ST DENVER CO,39.6769716,-104.9996251,Retail Marijuana Inf Prod Mfg,URBANE DEVELOPERS LLC,,Retail Marijuana Inf Prod Mfg-URBANE DEVELOPERS LLC
303,43,"4785 Elati St, Denver, CO 80216, USA",4785 N ELATI ST DENVER CO,39.7833694,-104.9930947,Med Marijuana Inf Prod Manuf,FRONTIER MANUFACTURING AND LOGISTICS LLC,FRONTIER M&L,Med Marijuana Inf Prod Manuf-FRONTIER MANUFACTURING AND LOGISTICS LLC
304,44,"4935 York St, Denver, CO 80216, USA",4935 N York ST Denver CO,39.7855193,-104.9597114,Retail Marij Opt. Prem. Cultiv,RIVERROCK LLC,RIVERROCK,Retail Marij Opt. Prem. Cultiv-RIVERROCK LLC
305,45,"2057 S Broadway, Denver, CO 80210, USA",2057 S Broadway  Denver CO,39.6793371,-104.9878913,Med Marijuana Opt Prem Cultiv,E2T2 LLC,DIEGO PELLICER,Med Marijuana Opt Prem Cultiv-E2T2 LLC
306,46,"2042 S Bannock St, Denver, CO 80223, USA",2042 S BANNOCK ST DENVER CO,39.679316,-104.9897484,Retail Marijuana Store,SUMMIT WELLNESS,DEN-REC DENVER RECREATIONAL DISPENSARY,Retail Marijuana Store-SUMMIT WELLNESS
307,46,"2042 S Bannock St, Denver, CO 80223, USA",2042 S BANNOCK ST DENVER CO,39.679316,-104.9897484,Medical Marijuana Center,SUMMIT WELLNESS,DEN-REC DENVER RECREATIONAL DISPENSARY,Medical Marijuana Center-SUMMIT WELLNESS
308,46,"2042 S Bannock St, Denver, CO 80223, USA",2042 S BANNOCK ST DENVER CO,39.679316,-104.9897484,Med Marijuana Opt Prem Cultiv,SUMMIT WELLNESS,DENREC DENVER RECREATIONAL DISPENSARY,Med Marijuana Opt Prem Cultiv-SUMMIT WELLNESS
309,46,"2042 S Bannock St, Denver, CO 80223, USA",2042 S BANNOCK ST DENVER CO,39.679316,-104.9897484,Retail Marij Opt. Prem. Cultiv,SUMMIT WELLNESS,DEN-REC DENVER RECREATIONAL DISPENSARY,Retail Marij Opt. Prem. Cultiv-SUMMIT WELLNESS
322,47,"4625 E Colfax Ave, Denver, CO 80220, USA",4625 E COLFAX AVE DENVER CO,39.7403739,-104.9331588,Medical Marijuana Center,4625 EAST COLFAX LLC,THE CLINIC ON COLFAX,Medical Marijuana Center-4625 EAST COLFAX LLC
